"Group","Units","Indicator","YYYY-MM","value"
"Oahu visitors","days","LOS on Oahu","2015-01","7.4"
"Oahu visitors","days","LOS on Oahu","2015-02","6.8"
"Oahu visitors","days","LOS on Oahu","2015-03","6.8"
"Oahu visitors","days","LOS on Oahu","2015-04","6.7"
"Oahu visitors","days","LOS on Oahu","2015-05","6.6"
"Oahu visitors","days","LOS on Oahu","2015-06","6.9"
"Oahu visitors","days","LOS on Oahu","2015-07","7"
"Oahu visitors","days","LOS on Oahu","2015-08","6.9"
"Oahu visitors","days","LOS on Oahu","2015-09","6.4"
"Oahu visitors","days","LOS on Oahu","2015-10","6.5"
"Oahu visitors","days","LOS on Oahu","2015-11","6.7"
"Oahu visitors","days","LOS on Oahu","2015-12","7.2"
"Oahu visitors","days","LOS on Oahu","2016-01","7.3"
"Oahu visitors","days","LOS on Oahu","2016-02","6.7"
"Oahu visitors","days","LOS on Oahu","2016-03","6.8"
"Oahu visitors","days","LOS on Oahu","2016-04","6.7"
"Oahu visitors","days","LOS on Oahu","2016-05","6.6"
"Oahu visitors","days","LOS on Oahu","2016-06","6.9"
"Oahu visitors","days","LOS on Oahu","2016-07","6.9"
"Oahu visitors","days","LOS on Oahu","2016-08","6.8"
"Oahu visitors","days","LOS on Oahu","2016-09","6.5"
"Oahu visitors","days","LOS on Oahu","2016-10","6.5"
"Oahu visitors","days","LOS on Oahu","2016-11","6.5"
"Oahu visitors","days","LOS on Oahu","2016-12","7.1"
"Oahu visitors","days","LOS on Oahu","2017-01","7.4"
"Oahu visitors","days","LOS on Oahu","2017-02","6.8"
"Oahu visitors","days","LOS on Oahu","2017-03","6.8"
"Oahu visitors","days","LOS on Oahu","2017-04","6.6"
"Oahu visitors","days","LOS on Oahu","2017-05","6.6"
"Oahu visitors","days","LOS on Oahu","2017-06","6.8"
"Oahu visitors","days","LOS on Oahu","2017-07","6.8"
"Oahu visitors","days","LOS on Oahu","2017-08","6.7"
"Oahu visitors","days","LOS on Oahu","2017-09","6.4"
"Oahu visitors","days","LOS on Oahu","2017-10","6.5"
"Oahu visitors","days","LOS on Oahu","2017-11","6.5"
"Oahu visitors","days","LOS on Oahu","2017-12","7"
"Oahu visitors","days","LOS on Oahu","2018-01","7.4"
"Oahu visitors","days","LOS on Oahu","2018-02","6.8"
"Oahu visitors","days","LOS on Oahu","2018-03","6.7"
"Oahu visitors","days","LOS on Oahu","2018-04","6.7"
"Oahu visitors","days","LOS on Oahu","2018-05","6.8"
"Oahu visitors","days","LOS on Oahu","2018-06","7"
"Oahu visitors","days","LOS on Oahu","2018-07","7.1"
"Oahu visitors","days","LOS on Oahu","2018-08","6.9"
"Oahu visitors","days","LOS on Oahu","2018-09","6.7"
"Oahu visitors","days","LOS on Oahu","2018-10","6.6"
"Oahu visitors","days","LOS on Oahu","2018-11","6.8"
"Oahu visitors","days","LOS on Oahu","2018-12","7.2"
"Oahu visitors","days","LOS on Oahu","2019-01","7.4"
"Oahu visitors","days","LOS on Oahu","2019-02","6.7"
"Oahu visitors","days","LOS on Oahu","2019-03","6.6"
"Oahu visitors","days","LOS on Oahu","2019-04","6.7"
"Oahu visitors","days","LOS on Oahu","2019-05","6.7"
"Oahu visitors","days","LOS on Oahu","2019-06","6.9"
"Oahu visitors","days","LOS on Oahu","2019-07","7"
"Oahu visitors","days","LOS on Oahu","2019-08","6.8"
"Oahu visitors","days","LOS on Oahu","2019-09","6.6"
"Oahu visitors","days","LOS on Oahu","2019-10","6.5"
"Oahu visitors","days","LOS on Oahu","2019-11","6.5"
"Oahu visitors","days","LOS on Oahu","2019-12","7.1"
"Oahu visitors","days","LOS on Oahu","2020-01","7.2"
"Oahu visitors","days","LOS on Oahu","2020-02","6.6"
"Oahu visitors","days","LOS on Oahu","2020-03","7.3"
"Oahu visitors","days","LOS on Oahu","2020-04","25.8"
"Oahu visitors","days","LOS on Oahu","2020-05","26"
"Oahu visitors","days","LOS on Oahu","2020-06","23.9"
"Oahu visitors","days","LOS on Oahu","2020-07","21.6"
"Oahu visitors","days","LOS on Oahu","2020-08","26.9"
