"Date","Tenant Name","Net Sales"
"2021-06-01","Beachside Shave Ice",NULL
"2021-06-02","Beachside Shave Ice",NULL
"2021-06-03","Beachside Shave Ice",NULL
"2021-06-04","Beachside Shave Ice",NULL
"2021-06-05","Beachside Shave Ice",NULL
"2021-06-07","Beachside Shave Ice",NULL
"2021-06-08","Beachside Shave Ice",NULL
"2021-06-09","Beachside Shave Ice",NULL
"2021-06-10","Beachside Shave Ice",NULL
"2021-06-11","Beachside Shave Ice",NULL
"2021-06-12","Beachside Shave Ice",NULL
"2021-06-14","Beachside Shave Ice",NULL
"2021-06-15","Beachside Shave Ice",NULL
"2021-06-16","Beachside Shave Ice",NULL
"2021-06-17","Beachside Shave Ice",NULL
"2021-06-18","Beachside Shave Ice",NULL
"2021-06-19","Beachside Shave Ice",NULL
"2021-06-21","Beachside Shave Ice",NULL
"2021-06-22","Beachside Shave Ice",NULL
"2021-06-23","Beachside Shave Ice",NULL
"2021-06-24","Beachside Shave Ice",NULL
"2021-06-25","Beachside Shave Ice",NULL
"2021-06-26","Beachside Shave Ice",NULL
"2021-06-28","Beachside Shave Ice",NULL
"2021-06-29","Beachside Shave Ice",NULL
"2021-06-30","Beachside Shave Ice",NULL
"2021-07-01","Beachside Shave Ice",NULL
"2021-07-02","Beachside Shave Ice",NULL
"2021-07-03","Beachside Shave Ice",NULL
"2021-07-05","Beachside Shave Ice",NULL
"2021-07-06","Beachside Shave Ice",NULL
"2021-07-07","Beachside Shave Ice",NULL
"2021-07-08","Beachside Shave Ice",NULL
"2021-07-09","Beachside Shave Ice",NULL
"2021-07-10","Beachside Shave Ice",NULL
"2021-07-12","Beachside Shave Ice",NULL
"2021-07-13","Beachside Shave Ice",NULL
"2021-07-14","Beachside Shave Ice",NULL
"2021-07-15","Beachside Shave Ice",NULL
"2021-07-16","Beachside Shave Ice",NULL
"2021-07-17","Beachside Shave Ice",NULL
"2021-07-19","Beachside Shave Ice",NULL
"2021-07-20","Beachside Shave Ice",NULL
"2021-07-21","Beachside Shave Ice",NULL
"2021-07-22","Beachside Shave Ice",NULL
"2021-07-23","Beachside Shave Ice",NULL
"2021-07-24","Beachside Shave Ice",NULL
"2021-07-26","Beachside Shave Ice",NULL
"2021-07-27","Beachside Shave Ice",NULL
"2021-07-28","Beachside Shave Ice",NULL
"2021-07-29","Beachside Shave Ice",NULL
"2021-07-30","Beachside Shave Ice",NULL
"2021-07-31","Beachside Shave Ice",NULL
"2021-08-01","Beachside Shave Ice",NULL
"2021-08-02","Beachside Shave Ice",NULL
"2021-08-03","Beachside Shave Ice",NULL
"2021-08-04","Beachside Shave Ice",NULL
"2021-08-05","Beachside Shave Ice",NULL
"2021-08-06","Beachside Shave Ice",NULL
"2021-08-07","Beachside Shave Ice",NULL
"2021-08-09","Beachside Shave Ice",NULL
"2021-08-10","Beachside Shave Ice",NULL
"2021-08-11","Beachside Shave Ice",NULL
"2021-08-12","Beachside Shave Ice",NULL
"2021-08-13","Beachside Shave Ice",NULL
"2021-08-14","Beachside Shave Ice",NULL
"2021-08-16","Beachside Shave Ice",NULL
"2021-08-17","Beachside Shave Ice",NULL
"2021-08-18","Beachside Shave Ice",NULL
"2021-08-19","Beachside Shave Ice",NULL
"2021-08-20","Beachside Shave Ice",NULL
"2021-08-21","Beachside Shave Ice",NULL
"2021-08-23","Beachside Shave Ice",NULL
"2021-08-24","Beachside Shave Ice",NULL
"2021-08-25","Beachside Shave Ice",NULL
"2021-08-26","Beachside Shave Ice",NULL
"2021-08-27","Beachside Shave Ice",NULL
"2021-08-28","Beachside Shave Ice",NULL
"2021-08-30","Beachside Shave Ice",NULL
"2021-08-31","Beachside Shave Ice",NULL
"2021-09-01","Beachside Shave Ice",NULL
"2021-09-02","Beachside Shave Ice",NULL
"2021-09-03","Beachside Shave Ice",NULL
"2021-09-04","Beachside Shave Ice",NULL
"2021-09-05","Beachside Shave Ice",NULL
"2021-09-06","Beachside Shave Ice",NULL
"2021-09-07","Beachside Shave Ice",NULL
"2021-09-08","Beachside Shave Ice",NULL
"2021-09-09","Beachside Shave Ice",NULL
"2021-09-10","Beachside Shave Ice",NULL
"2021-09-11","Beachside Shave Ice",NULL
"2021-09-12","Beachside Shave Ice",NULL
"2021-09-13","Beachside Shave Ice",NULL
"2021-09-14","Beachside Shave Ice",NULL
"2021-09-15","Beachside Shave Ice",NULL
"2021-09-16","Beachside Shave Ice",NULL
"2021-09-17","Beachside Shave Ice",NULL
"2021-09-18","Beachside Shave Ice",NULL
"2021-09-19","Beachside Shave Ice",NULL
"2021-09-20","Beachside Shave Ice",NULL
"2021-09-21","Beachside Shave Ice",NULL
"2021-09-22","Beachside Shave Ice",NULL
"2021-09-23","Beachside Shave Ice",NULL
"2021-09-24","Beachside Shave Ice",NULL
"2021-09-25","Beachside Shave Ice",NULL
"2021-09-27","Beachside Shave Ice",NULL
"2021-09-28","Beachside Shave Ice",NULL
"2021-09-29","Beachside Shave Ice",NULL
"2021-09-30","Beachside Shave Ice",NULL
"2021-10-01","Beachside Shave Ice",NULL
"2021-10-02","Beachside Shave Ice",NULL
"2021-10-04","Beachside Shave Ice",NULL
"2021-10-05","Beachside Shave Ice",NULL
"2021-10-07","Beachside Shave Ice",NULL
"2021-10-08","Beachside Shave Ice",NULL
"2021-10-09","Beachside Shave Ice",NULL
"2021-10-11","Beachside Shave Ice",NULL
"2021-10-12","Beachside Shave Ice",NULL
"2021-10-13","Beachside Shave Ice",NULL
"2021-10-14","Beachside Shave Ice",NULL
"2021-10-15","Beachside Shave Ice",NULL
"2021-10-16","Beachside Shave Ice",NULL
"2021-10-18","Beachside Shave Ice",NULL
"2021-10-19","Beachside Shave Ice",NULL
"2021-10-20","Beachside Shave Ice",NULL
"2021-10-21","Beachside Shave Ice",NULL
"2021-10-22","Beachside Shave Ice",NULL
"2021-10-23","Beachside Shave Ice",NULL
"2021-10-25","Beachside Shave Ice","0"
"2021-10-26","Beachside Shave Ice",NULL
"2021-10-27","Beachside Shave Ice",NULL
"2021-10-28","Beachside Shave Ice",NULL
"2021-10-29","Beachside Shave Ice",NULL
"2021-10-30","Beachside Shave Ice",NULL
"2021-11-01","Beachside Shave Ice",NULL
"2021-11-02","Beachside Shave Ice",NULL
"2021-11-03","Beachside Shave Ice",NULL
"2021-11-04","Beachside Shave Ice",NULL
"2021-11-05","Beachside Shave Ice",NULL
"2021-11-06","Beachside Shave Ice",NULL
"2021-11-08","Beachside Shave Ice",NULL
"2021-11-09","Beachside Shave Ice",NULL
"2021-11-10","Beachside Shave Ice",NULL
"2021-11-11","Beachside Shave Ice",NULL
"2021-11-12","Beachside Shave Ice",NULL
"2021-11-13","Beachside Shave Ice",NULL
"2021-11-15","Beachside Shave Ice",NULL
"2021-11-16","Beachside Shave Ice",NULL
"2021-11-17","Beachside Shave Ice",NULL
"2021-11-18","Beachside Shave Ice",NULL
"2021-11-19","Beachside Shave Ice",NULL
"2021-11-20","Beachside Shave Ice",NULL
"2021-11-22","Beachside Shave Ice",NULL
"2021-11-23","Beachside Shave Ice",NULL
"2021-11-24","Beachside Shave Ice",NULL
"2021-11-26","Beachside Shave Ice",NULL
"2021-11-27","Beachside Shave Ice",NULL
"2021-11-29","Beachside Shave Ice",NULL
"2021-11-30","Beachside Shave Ice",NULL
"2021-12-01","Beachside Shave Ice",NULL
"2021-12-02","Beachside Shave Ice",NULL
"2021-12-03","Beachside Shave Ice",NULL
"2021-12-04","Beachside Shave Ice",NULL
"2021-12-05","Beachside Shave Ice",NULL
"2021-12-06","Beachside Shave Ice",NULL
"2021-12-07","Beachside Shave Ice",NULL
"2021-12-08","Beachside Shave Ice",NULL
"2021-12-09","Beachside Shave Ice",NULL
"2021-12-10","Beachside Shave Ice",NULL
"2021-12-11","Beachside Shave Ice",NULL
"2021-12-13","Beachside Shave Ice",NULL
"2021-12-14","Beachside Shave Ice",NULL
"2021-12-15","Beachside Shave Ice",NULL
"2021-12-16","Beachside Shave Ice",NULL
"2021-12-17","Beachside Shave Ice",NULL
"2021-12-18","Beachside Shave Ice",NULL
"2021-12-20","Beachside Shave Ice",NULL
"2021-12-21","Beachside Shave Ice",NULL
"2021-12-22","Beachside Shave Ice",NULL
"2021-12-23","Beachside Shave Ice",NULL
"2021-12-24","Beachside Shave Ice",NULL
"2021-12-25","Beachside Shave Ice",NULL
"2021-12-27","Beachside Shave Ice",NULL
"2021-12-28","Beachside Shave Ice",NULL
"2021-12-29","Beachside Shave Ice",NULL
"2021-12-30","Beachside Shave Ice",NULL
"2021-12-31","Beachside Shave Ice",NULL
"2022-01-01","Beachside Shave Ice","0"
"2022-01-03","Beachside Shave Ice","0"
"2022-01-04","Beachside Shave Ice","358.14"
"2022-01-05","Beachside Shave Ice",NULL
"2022-01-06","Beachside Shave Ice","238.46"
"2022-01-07","Beachside Shave Ice","206.29"
"2022-01-08","Beachside Shave Ice","191.49"
"2022-01-10","Beachside Shave Ice","108.78"
"2022-01-11","Beachside Shave Ice","127.85"
"2022-01-12","Beachside Shave Ice",NULL
"2022-01-13","Beachside Shave Ice","169.49"
"2022-01-14","Beachside Shave Ice","178.12"
"2022-01-15","Beachside Shave Ice","183.85"
"2022-01-17","Beachside Shave Ice","381.99"
"2022-01-18","Beachside Shave Ice","226.84"
"2022-01-19","Beachside Shave Ice",NULL
"2022-01-20","Beachside Shave Ice","165.69"
"2022-01-21","Beachside Shave Ice","112.21"
"2022-01-22","Beachside Shave Ice","147.55"
"2022-01-24","Beachside Shave Ice","236.86"
"2022-01-25","Beachside Shave Ice","244.67"
"2022-01-26","Beachside Shave Ice",NULL
"2022-01-27","Beachside Shave Ice","198.65"
"2022-01-28","Beachside Shave Ice","127.03"
"2022-01-29","Beachside Shave Ice",NULL
"2022-01-31","Beachside Shave Ice","252.79"
"2022-02-01","Beachside Shave Ice","265.87"
"2022-02-02","Beachside Shave Ice","283.27"
"2022-02-03","Beachside Shave Ice","283.27"
"2022-02-04","Beachside Shave Ice","266.5"
"2022-02-05","Beachside Shave Ice","386"
"2022-02-07","Beachside Shave Ice","246.5"
"2022-02-08","Beachside Shave Ice","236.86"
"2022-02-09","Beachside Shave Ice",NULL
"2022-02-10","Beachside Shave Ice","321"
"2022-02-11","Beachside Shave Ice","208.21"
"2022-02-12","Beachside Shave Ice","300.5"
"2022-02-14","Beachside Shave Ice","363.42"
"2022-02-15","Beachside Shave Ice","300.5"
"2022-02-16","Beachside Shave Ice",NULL
"2022-02-17","Beachside Shave Ice","321.5"
"2022-02-18","Beachside Shave Ice","316.5"
"2022-02-19","Beachside Shave Ice","406.5"
